Comment,Designator,Footprint,JLCPCB Part #（optional）
100nF,C1,1206,C97946
100nF,C2,0603,C14663
470n,"C3,C8",1206,C6049896
100p,C5,0603,C14858
3n3,C7,0603,C77036
SM5817,D1,SOD3716X120N,C7420328
BAT41,"D2,D3,D4",SOD3816X145N,C222251
MOSFET,"D5,D6",TRANSISTOR_SOT23-GDS,C20917
NE5532DR,IC1,SOIC127P600X175-8N,C7426
2M,R1,0603,C22976
1K,"R2,R4,R9",0603,C21190
100R,R3,0603,C22775
470K,R5,0603,C23178
10K,"R6,R7,R8",0603,C25804
